db,records,run_type,delete,full_scan,insert,primary_key_lookup,update
mongodb,100,cold,0.009684,0.010402,0.012996,0.009884,0.01047
mongodb,100,warm,0.009816,0.009704,0.011383,0.009748,0.009459
mongodb,1000,cold,0.014114,0.015841,0.014777,0.014417,0.01431
mongodb,1000,warm,0.014463,0.016036,0.016152,0.014607,0.014352
mysql,100,cold,0.014845,0.014886,0.01657,0.015393,0.014878
mysql,100,warm,0.015699,0.015116,0.014874,0.018347,0.020482
mysql,1000,cold,0.021308,0.024419,0.02227,0.02033,0.022274
mysql,1000,warm,0.021604,0.028203,0.022574,0.020416,0.027133
redis,100,cold,0.001327,0.00616,0.002287,0.001403,0.001251
redis,100,warm,0.001291,0.008082,0.409038,0.001359,0.001439
redis,1000,cold,0.008276,0.057026,0.010166,0.008219,0.008211
redis,1000,warm,0.008842,0.05798,0.420237,0.008413,0.008374
sqlite,100,cold,0.005798,0.0045,0.004065,0.004449,0.005844
sqlite,100,warm,0.005965,0.003803,0.00375,0.004173,0.005576
sqlite,1000,cold,0.006292,0.005193,0.00505,0.005403,0.006378
sqlite,1000,warm,0.007384,0.005128,0.004816,0.004691,0.006603
